risk_rank,party,un_share,band_id,band_label,nearest_edge,cross_if_direction,nearest_threshold,abs_margin,pct_change_to_cross,exact_threshold_case,risk_bucket
1,Belize,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
2,Bhutan,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
3,Burundi,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
4,Cabo Verde,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
5,Central African Republic,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
6,Comoros,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
7,Dominica,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
8,Eritrea,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
9,Gambia,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
10,Grenada,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
11,Guinea-Bissau,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
12,Kiribati,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
13,Lesotho,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
14,Liberia,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
15,Marshall Islands,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
16,Micronesia (Federated States of),0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
17,Nauru,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
18,Palau,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
19,Saint Kitts and Nevis,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
20,Saint Vincent and the Grenadines,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
21,Samoa,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
22,Sao Tome and Principe,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
23,Sierra Leone,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
24,Solomon Islands,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
25,Timor-Leste,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
26,Tonga,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
27,Tuvalu,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
28,Vanuatu,0.001,1,Band 1: <= 0.001%,upper,increase,0.001,0.0,0.0,True,Exact threshold
29,Albania,0.01,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.0,0.0,True,Exact threshold
30,Angola,0.01,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.0,0.0,True,Exact threshold
31,Bangladesh,0.01,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.0,0.0,True,Exact threshold
32,Democratic Republic of the Congo,0.01,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.0,0.0,True,Exact threshold
33,Ethiopia,0.01,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.0,0.0,True,Exact threshold
34,Honduras,0.01,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.0,0.0,True,Exact threshold
35,Mauritius,0.01,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.0,0.0,True,Exact threshold
36,Myanmar,0.01,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.0,0.0,True,Exact threshold
37,Nepal,0.01,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.0,0.0,True,Exact threshold
38,Uganda,0.01,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.0,0.0,True,Exact threshold
39,United Republic of Tanzania,0.01,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.0,0.0,True,Exact threshold
40,Gabon,0.011,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.0009999999999999992,9.090909090909085,False,<=10%
41,Guyana,0.011,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.0009999999999999992,9.090909090909085,False,<=10%
42,India,1.106,5,Band 5: 1.0% - 10.0%,lower,decrease,1.0,0.1060000000000001,9.584086799276681,False,<=10%
43,Georgia,0.009,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.0010000000000000009,11.111111111111121,False,<=20%
44,Papua New Guinea,0.009,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.0010000000000000009,11.111111111111121,False,<=20%
45,Mexico,1.137,5,Band 5: 1.0% - 10.0%,lower,decrease,1.0,0.137,12.049252418645558,False,<=20%
46,Algeria,0.087,3,Band 3: 0.01% - 0.1%,upper,increase,0.1,0.013000000000000012,14.942528735632198,False,<=20%
47,Cuba,0.122,4,Band 4: 0.1% - 1.0%,lower,decrease,0.1,0.021999999999999992,18.032786885245898,False,<=20%
48,Pakistan,0.123,4,Band 4: 0.1% - 1.0%,lower,decrease,0.1,0.022999999999999993,18.69918699186991,False,<=20%
49,Botswana,0.013,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.002999999999999999,23.076923076923073,False,>20%
50,El Salvador,0.013,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.002999999999999999,23.076923076923073,False,>20%
51,Iraq,0.131,4,Band 4: 0.1% - 1.0%,lower,decrease,0.1,0.031,23.66412213740458,False,>20%
52,Kazakhstan,0.131,4,Band 4: 0.1% - 1.0%,lower,decrease,0.1,0.031,23.66412213740458,False,>20%
53,Cambodia,0.008,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.002,25.0,False,>20%
54,Equatorial Guinea,0.008,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.002,25.0,False,>20%
55,North Macedonia,0.008,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.002,25.0,False,>20%
56,Sudan,0.008,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.002,25.0,False,>20%
57,Bosnia and Herzegovina,0.014,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.004,28.57142857142857,False,>20%
58,Cameroon,0.014,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.004,28.57142857142857,False,>20%
59,Brazil,1.411,5,Band 5: 1.0% - 10.0%,lower,decrease,1.0,0.41100000000000003,29.12827781715096,False,>20%
60,Peru,0.145,4,Band 4: 0.1% - 1.0%,lower,decrease,0.1,0.044999999999999984,31.03448275862068,False,>20%
61,Bahamas,0.015,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.004999999999999999,33.33333333333333,False,>20%
62,Nigeria,0.15,4,Band 4: 0.1% - 1.0%,lower,decrease,0.1,0.04999999999999999,33.33333333333333,False,>20%
63,Ukraine,0.074,3,Band 3: 0.01% - 0.1%,upper,increase,0.1,0.02600000000000001,35.13513513513515,False,>20%
64,Viet Nam,0.159,4,Band 4: 0.1% - 1.0%,lower,decrease,0.1,0.059,37.10691823899371,False,>20%
65,Armenia,0.007,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.003,42.857142857142854,False,>20%
66,Barbados,0.007,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.003,42.857142857142854,False,>20%
67,Jamaica,0.007,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.003,42.857142857142854,False,>20%
68,Namibia,0.007,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.003,42.857142857142854,False,>20%
69,Senegal,0.007,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.003,42.857142857142854,False,>20%
70,Zimbabwe,0.007,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.003,42.857142857142854,False,>20%
71,Bolivia (Plurinational State of),0.018,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.007999999999999998,44.444444444444436,False,>20%
72,Tunisia,0.018,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.007999999999999998,44.444444444444436,False,>20%
73,Dominican Republic,0.069,3,Band 3: 0.01% - 0.1%,upper,increase,0.1,0.031,44.927536231884055,False,>20%
74,Venezuela (Bolivarian Republic of),0.069,3,Band 3: 0.01% - 0.1%,upper,increase,0.1,0.031,44.927536231884055,False,>20%
75,Egypt,0.182,4,Band 4: 0.1% - 1.0%,lower,decrease,0.1,0.08199999999999999,45.05494505494505,False,>20%
76,Türkiye,0.685,4,Band 4: 0.1% - 1.0%,upper,increase,1.0,0.31499999999999995,45.985401459854,False,>20%
77,Colombia,0.197,4,Band 4: 0.1% - 1.0%,lower,decrease,0.1,0.097,49.23857868020304,False,>20%
78,Philippines,0.198,4,Band 4: 0.1% - 1.0%,lower,decrease,0.1,0.098,49.494949494949495,False,>20%
79,Antigua and Barbuda,0.002,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.001,50.0,False,>20%
80,Djibouti,0.002,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.001,50.0,False,>20%
81,Eswatini,0.002,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.001,50.0,False,>20%
82,Mozambique,0.002,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.001,50.0,False,>20%
83,Saint Lucia,0.002,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.001,50.0,False,>20%
84,Seychelles,0.002,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.001,50.0,False,>20%
85,Somalia,0.002,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.001,50.0,False,>20%
86,Suriname,0.002,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.001,50.0,False,>20%
87,Togo,0.002,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.001,50.0,False,>20%
88,China,20.004,6,Band 6: > 10.0%,lower,decrease,10.0,10.004000000000001,50.009998000399925,False,>20%
89,Jordan,0.021,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.011000000000000001,52.38095238095239,False,>20%
90,Ecuador,0.065,3,Band 3: 0.01% - 0.1%,upper,increase,0.1,0.035,53.846153846153854,False,>20%
91,Lebanon,0.022,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.011999999999999999,54.54545454545454,False,>20%
92,Paraguay,0.023,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.013,56.52173913043478,False,>20%
93,Côte d’Ivoire,0.024,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.014,58.333333333333336,False,>20%
94,Uzbekistan,0.024,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.014,58.333333333333336,False,>20%
95,Ghana,0.025,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.015000000000000001,60.0,False,>20%
96,South Africa,0.251,4,Band 4: 0.1% - 1.0%,lower,decrease,0.1,0.151,60.1593625498008,False,>20%
97,Fiji,0.003,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.002,66.66666666666666,False,>20%
98,Kyrgyzstan,0.003,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.002,66.66666666666666,False,>20%
99,Malawi,0.003,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.002,66.66666666666666,False,>20%
100,Mauritania,0.003,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.002,66.66666666666666,False,>20%
101,Rwanda,0.003,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.002,66.66666666666666,False,>20%
102,Tajikistan,0.003,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.002,66.66666666666666,False,>20%
103,Yemen,0.003,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.002,66.66666666666666,False,>20%
104,Haiti,0.006,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.004,66.66666666666666,False,>20%
105,Lao People's Democratic Republic,0.006,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.004,66.66666666666666,False,>20%
106,Republic of Moldova,0.006,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.004,66.66666666666666,False,>20%
107,Syrian Arab Republic,0.006,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.004,66.66666666666666,False,>20%
108,Zambia,0.006,2,Band 2: 0.001% - 0.01%,upper,increase,0.01,0.004,66.66666666666666,False,>20%
109,Malaysia,0.326,4,Band 4: 0.1% - 1.0%,lower,decrease,0.1,0.226,69.32515337423312,False,>20%
110,Morocco,0.059,3,Band 3: 0.01% - 0.1%,upper,increase,0.1,0.04100000000000001,69.49152542372883,False,>20%
111,Trinidad and Tobago,0.033,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.023,69.69696969696969,False,>20%
112,Azerbaijan,0.034,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.024,70.58823529411764,False,>20%
113,Thailand,0.341,4,Band 4: 0.1% - 1.0%,lower,decrease,0.1,0.24100000000000002,70.67448680351906,False,>20%
114,Turkmenistan,0.036,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.025999999999999995,72.22222222222221,False,>20%
115,Indonesia,0.579,4,Band 4: 0.1% - 1.0%,upper,increase,1.0,0.42100000000000004,72.71157167530225,False,>20%
116,Kenya,0.037,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.026999999999999996,72.97297297297297,False,>20%
117,Sri Lanka,0.038,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.027999999999999997,73.68421052631578,False,>20%
118,Iran (Islamic Republic of),0.386,4,Band 4: 0.1% - 1.0%,lower,decrease,0.1,0.28600000000000003,74.09326424870467,False,>20%
119,Guinea,0.004,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.003,75.0,False,>20%
120,Madagascar,0.004,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.003,75.0,False,>20%
121,Maldives,0.004,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.003,75.0,False,>20%
122,Mongolia,0.004,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.003,75.0,False,>20%
123,Montenegro,0.004,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.003,75.0,False,>20%
124,Nicaragua,0.004,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.003,75.0,False,>20%
125,Niger,0.004,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.003,75.0,False,>20%
126,Libya,0.04,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.03,75.0,False,>20%
127,Serbia,0.04,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.03,75.0,False,>20%
128,Belarus,0.043,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.032999999999999995,76.74418604651162,False,>20%
129,Guatemala,0.046,3,Band 3: 0.01% - 0.1%,lower,decrease,0.01,0.036,78.26086956521738,False,>20%
130,Singapore,0.479,4,Band 4: 0.1% - 1.0%,lower,decrease,0.1,0.379,79.12317327766179,False,>20%
131,Argentina,0.49,4,Band 4: 0.1% - 1.0%,lower,decrease,0.1,0.39,79.59183673469387,False,>20%
132,Afghanistan,0.005,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.004,80.0,False,>20%
133,Benin,0.005,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.004,80.0,False,>20%
134,Burkina Faso,0.005,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.004,80.0,False,>20%
135,Chad,0.005,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.004,80.0,False,>20%
136,Congo,0.005,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.004,80.0,False,>20%
137,Democratic People's Republic of Korea,0.005,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.004,80.0,False,>20%
138,Mali,0.005,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.004,80.0,False,>20%
139,South Sudan,0.005,2,Band 2: 0.001% - 0.01%,lower,decrease,0.001,0.004,80.0,False,>20%
