tsac_pct,sosac_pct,iusaf_pct,gini,spearman,band_preserved,b5_mean,b6_mean,b5_b6_margin_pct,ldc_total_m,ldc_count,sids_total_m,sids_count,stewardship_exceeds_iusaf,n_eligible
0,3,97,0.101052,0.977121,True,4.1347,2.20517,46.6667,335.058,44,325.493,39,0,142
0.5,3,96.5,0.0984492,0.95207,True,4.39625,2.79392,36.4476,334.66,44,324.045,39,0,142
1,3,96,0.095846,0.95207,True,4.6578,3.38267,27.3762,334.262,44,322.597,39,0,142
1.5,3,95.5,0.0933112,0.951423,True,4.91934,3.97142,19.2694,333.864,44,321.149,39,0,142
2,3,95,0.0908771,0.947736,True,5.18089,4.56017,11.9811,333.466,44,319.701,39,1,142
2.5,3,94.5,0.0885994,0.944809,True,5.44244,5.14891,5.39332,333.068,44,318.252,39,1,142
3,3,94,0.0866091,0.929022,False,5.70399,5.73766,-0.590309,332.67,44,316.804,39,1,142
3.5,3,93.5,0.0850765,0.916703,False,5.96554,6.32641,-6.04925,332.272,44,315.356,39,1,142
4,3,93,0.0839084,0.897718,False,6.22709,6.91516,-11.0496,331.874,44,313.908,39,2,142
4.5,3,92.5,0.0831843,0.870898,False,6.48864,7.50391,-15.6469,331.476,44,312.46,39,2,142
5,3,92,0.0828909,0.851975,False,6.75019,8.09266,-19.8879,331.078,44,311.012,39,2,142
5.1,3,91.9,0.082867,0.85043,False,6.8025,8.2104,-20.6969,330.999,44,310.722,39,2,142
5.2,3,91.8,0.082848,0.847947,False,6.85481,8.32815,-21.4937,330.919,44,310.433,39,2,142
5.3,3,91.7,0.082836,0.843175,False,6.90712,8.4459,-22.2783,330.839,44,310.143,39,2,142
5.35,3,91.65,0.0828338,0.838949,False,6.93327,8.50478,-22.6662,330.8,44,309.998,39,2,142
5.4,3,91.6,0.0828345,0.837754,False,6.95943,8.56365,-23.0512,330.76,44,309.853,39,2,142
5.5,3,91.5,0.0828751,0.821825,False,7.01174,8.6814,-23.8125,330.68,44,309.564,39,2,142
6,3,91,0.0831966,0.808341,False,7.27328,9.27015,-27.4548,330.282,44,308.116,39,2,142
7,3,90,0.0841499,0.786409,False,7.79638,10.4476,-34.0064,329.486,44,305.219,39,2,142
8,3,89,0.0856295,0.742913,False,8.31948,11.6251,-39.734,328.69,44,302.323,39,2,142
9,3,88,0.0876628,0.712718,False,8.84258,12.8026,-44.784,327.895,44,299.427,39,2,142
10,3,87,0.0901873,0.666205,False,9.36568,13.9801,-49.2699,327.099,44,296.531,39,3,142
12,3,85,0.0967797,0.575235,False,10.4119,16.3351,-56.8895,325.507,44,290.738,39,3,142
15,3,82,0.109464,0.472585,False,11.9812,19.8676,-65.8238,323.119,44,282.05,39,6,142
20,3,77,0.135069,0.310051,False,14.5967,25.7551,-76.4453,319.139,44,267.568,39,9,142
