position,tsac_weight_pct,tsac_weight,sosac_weight_pct,sosac_weight,sids_total_usdm,ldc_total_usdm,ldc_nonsids_total_usdm,fund_size_usd_m
A — Strict,1.5,0.015,0.0,0.0,300.288,338.675,280.995,1000
A — Strict,1.5,0.015,0.5,0.005,303.764,337.873,279.588,1000
A — Strict,1.5,0.015,1.0,0.01,307.241,337.072,278.181,1000
A — Strict,1.5,0.015,1.5,0.015,310.718,336.27,276.775,1000
A — Strict,1.5,0.015,2.0,0.02,314.195,335.468,275.368,1000
A — Strict,1.5,0.015,2.5,0.025,317.672,334.666,273.961,1000
A — Strict,1.5,0.015,3.0,0.03,321.149,333.864,272.555,1000
A — Strict,1.5,0.015,3.5,0.035,324.626,333.062,271.148,1000
A — Strict,1.5,0.015,4.0,0.04,328.102,332.26,269.742,1000
A — Strict,1.5,0.015,4.5,0.045,331.579,331.458,268.335,1000
A — Strict,1.5,0.015,5.0,0.05,335.056,330.656,266.928,1000
A — Strict,1.5,0.015,5.5,0.055,338.533,329.854,265.522,1000
A — Strict,1.5,0.015,6.0,0.06,342.01,329.052,264.115,1000
A — Strict,1.5,0.015,6.5,0.065,345.487,328.251,262.708,1000
A — Strict,1.5,0.015,7.0,0.07,348.963,327.449,261.302,1000
A — Strict,1.5,0.015,7.5,0.075,352.44,326.647,259.895,1000
A — Strict,1.5,0.015,8.0,0.08,355.917,325.845,258.488,1000
A — Strict,1.5,0.015,8.5,0.085,359.394,325.043,257.082,1000
A — Strict,1.5,0.015,9.0,0.09,362.871,324.241,255.675,1000
A — Strict,1.5,0.015,9.5,0.095,366.348,323.439,254.268,1000
A — Strict,1.5,0.015,10.0,0.1,369.824,322.637,252.862,1000
B — Bounded,3.5,0.035,0.0,0.0,294.495,337.084,280.548,1000
B — Bounded,3.5,0.035,0.5,0.005,297.972,336.282,279.141,1000
B — Bounded,3.5,0.035,1.0,0.01,301.449,335.48,277.734,1000
B — Bounded,3.5,0.035,1.5,0.015,304.926,334.678,276.328,1000
B — Bounded,3.5,0.035,2.0,0.02,308.403,333.876,274.921,1000
B — Bounded,3.5,0.035,2.5,0.025,311.879,333.074,273.515,1000
B — Bounded,3.5,0.035,3.0,0.03,315.356,332.272,272.108,1000
B — Bounded,3.5,0.035,3.5,0.035,318.833,331.47,270.701,1000
B — Bounded,3.5,0.035,4.0,0.04,322.31,330.668,269.295,1000
B — Bounded,3.5,0.035,4.5,0.045,325.787,329.866,267.888,1000
B — Bounded,3.5,0.035,5.0,0.05,329.264,329.064,266.481,1000
B — Bounded,3.5,0.035,5.5,0.055,332.74,328.263,265.075,1000
B — Bounded,3.5,0.035,6.0,0.06,336.217,327.461,263.668,1000
B — Bounded,3.5,0.035,6.5,0.065,339.694,326.659,262.261,1000
B — Bounded,3.5,0.035,7.0,0.07,343.171,325.857,260.855,1000
B — Bounded,3.5,0.035,7.5,0.075,346.648,325.055,259.448,1000
B — Bounded,3.5,0.035,8.0,0.08,350.125,324.253,258.041,1000
B — Bounded,3.5,0.035,8.5,0.085,353.601,323.451,256.635,1000
B — Bounded,3.5,0.035,9.0,0.09,357.078,322.649,255.228,1000
B — Bounded,3.5,0.035,9.5,0.095,360.555,321.847,253.821,1000
B — Bounded,3.5,0.035,10.0,0.1,364.032,321.045,252.415,1000
C — Even,5.0,0.05,0.0,0.0,290.151,335.89,280.213,1000
C — Even,5.0,0.05,0.5,0.005,293.628,335.088,278.806,1000
C — Even,5.0,0.05,1.0,0.01,297.105,334.286,277.399,1000
C — Even,5.0,0.05,1.5,0.015,300.581,333.484,275.993,1000
C — Even,5.0,0.05,2.0,0.02,304.058,332.682,274.586,1000
C — Even,5.0,0.05,2.5,0.025,307.535,331.88,273.179,1000
C — Even,5.0,0.05,3.0,0.03,311.012,331.078,271.773,1000
C — Even,5.0,0.05,3.5,0.035,314.489,330.276,270.366,1000
C — Even,5.0,0.05,4.0,0.04,317.966,329.474,268.959,1000
C — Even,5.0,0.05,4.5,0.045,321.442,328.672,267.553,1000
C — Even,5.0,0.05,5.0,0.05,324.919,327.871,266.146,1000
C — Even,5.0,0.05,5.5,0.055,328.396,327.069,264.739,1000
C — Even,5.0,0.05,6.0,0.06,331.873,326.267,263.333,1000
C — Even,5.0,0.05,6.5,0.065,335.35,325.465,261.926,1000
C — Even,5.0,0.05,7.0,0.07,338.827,324.663,260.519,1000
C — Even,5.0,0.05,7.5,0.075,342.303,323.861,259.113,1000
C — Even,5.0,0.05,8.0,0.08,345.78,323.059,257.706,1000
C — Even,5.0,0.05,8.5,0.085,349.257,322.257,256.3,1000
C — Even,5.0,0.05,9.0,0.09,352.734,321.455,254.893,1000
C — Even,5.0,0.05,9.5,0.095,356.211,320.653,253.486,1000
C — Even,5.0,0.05,10.0,0.1,359.688,319.851,252.08,1000
