scenario_id,fund_size_usd,tsac_beta,sosac_gamma,check_conservation_shares,sum_final_share,check_conservation_money,sum_total_allocation_usd,check_non_negativity,min_allocation_usd,check_component_consistency,max_component_abs_diff_usd,check_iplc_split,max_iplc_abs_diff_usd,check_band_monotonicity,band_monotonicity_detail,check_floor_not_binding_unexpectedly,floor_binding_count,check_ceiling_not_binding_unexpectedly,ceiling_binding_count,check_sids_sosac_allocation,sids_sosac_component_sum_usd,n_eligible_parties,n_eligible_sids,all_checks_pass
pure_equality,1000000000.0,0.0,0.0,PASS,0.9999999999999999,PASS,1000000000.0,PASS,7042253.521126761,PASS,0.0,PASS,0.0,PASS,PASS,PASS,0,PASS,0,PASS,0.0,142,39,PASS
pure_iusaf_raw,1000000000.0,0.0,0.0,PASS,1.0,PASS,1000000000.0,PASS,0.0,PASS,0.0,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
pure_iusaf_band,1000000000.0,0.0,0.0,PASS,1.0,PASS,999999999.9999998,PASS,2273373.1173628876,PASS,0.0,PASS,0.0,PASS,PASS,PASS,0,PASS,0,PASS,0.0,142,39,PASS
gini_optimal_point,1000000000.0,0.05,0.03,PASS,1.0,PASS,999999999.9999999,PASS,5157917.137898766,PASS,2.220446049250313e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
tsac_strict_balance,1000000000.0,0.015,0.03,PASS,1.0,PASS,999999999.9999999,PASS,3971416.936859802,PASS,2.1094237467877974e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
tsac_modified_balance,1000000000.0,0.035,0.03,PASS,1.0,PASS,1000000000.0,PASS,4855338.411810155,PASS,2.1094237467877974e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
terrestrial_max,1000000000.0,0.15,0.0,PASS,1.0,PASS,1000000000.0000001,PASS,4590748.865245189,PASS,2.6645352591003757e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,0.0,142,39,PASS
ocean_max,1000000000.0,0.0,0.1,PASS,1.0,PASS,999999999.9999999,PASS,2046035.8056265982,PASS,2.6645352591003757e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,99999999.99999999,142,39,PASS
gini_optimal_floor_005,1000000000.0,0.05,0.03,PASS,1.0,PASS,999999999.9999999,PASS,5157917.137898766,PASS,2.220446049250313e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
gini_optimal_ceiling_1,1000000000.0,0.05,0.03,PASS,1.0,PASS,999999999.9999999,PASS,5157917.137898766,PASS,2.220446049250313e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
gini_optimal_floor_005_ceiling_1,1000000000.0,0.05,0.03,PASS,1.0,PASS,999999999.9999999,PASS,5157917.137898766,PASS,2.220446049250313e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
exclude_hi_off_compare,1000000000.0,0.05,0.03,PASS,1.0,PASS,1000000000.0,PASS,3017712.6612726874,PASS,1.7763568394002505e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,30000000.0,196,39,PASS
exclude_hi_on_compare,1000000000.0,0.05,0.03,PASS,1.0,PASS,999999999.9999999,PASS,5157917.137898766,PASS,2.220446049250313e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
raw_vs_band_compare,1000000000.0,0.05,0.03,PASS,1.0,PASS,1000000000.0,PASS,3848.1175044248885,PASS,4.2396641752873165e-09,PASS,0.0,PASS,PASS (not evaluated for blended or constrained scenario),PASS,0,PASS,0,PASS,29999999.999999996,142,39,PASS
