sweep_param,sweep_value,spearman_vs_pure_iusaf,gini_coefficient,pct_below_equality,max_tsac_iusaf_ratio,max_sosac_iusaf_ratio,max_sosac_ratio_parties,china_tsac_iusaf_ratio,brazil_tsac_iusaf_ratio,n_parties_tsac_dominant,tsac_balance_exceeded,band1_per_party_alloc_m,band1_pct_change_vs_iusaf,sids_total_m,ldc_total_m
sosac_gamma,0.0,1.0,0.08725069942245134,36.61971830985916,0.0,,,,,0,False,8.525149190110827,0.0,304.6319977266269,339.8692810457516
sosac_gamma,0.005,0.9771208646957501,0.08955099341540773,36.61971830985916,0.0,0.023864260574125683,"Cuba, Singapore",0.0,0.0,0,False,8.573507728692945,0.5672456575682432,308.10883773799384,339.0673705379589
sosac_gamma,0.01,0.9771208646957501,0.09185128740836368,36.61971830985916,0.0,0.047969574285363754,"Cuba, Singapore",0.0,0.0,0,False,8.621866267275061,1.1344913151364653,311.58567774936057,338.2654600301659
sosac_gamma,0.015,0.9771208646957501,0.09415158140132052,36.61971830985916,0.0,0.07231961199367024,"Cuba, Singapore",0.0,0.0,0,False,8.67022480585718,1.7017369727047087,315.06251776072753,337.463549522373
sosac_gamma,0.02,0.9771208646957501,0.09645187539427691,36.61971830985916,0.0,0.09691811947451046,"Cuba, Singapore",0.0,0.0,0,False,8.718583344439297,2.268982630272952,318.5393577720944,336.66163901458026
sosac_gamma,0.025,0.9771208646957501,0.09875216938723286,36.61971830985916,0.0,0.12176891933976952,"Cuba, Singapore",0.0,0.0,0,False,8.766941883021415,2.8362282878411946,322.0161977834611,335.8597285067873
sosac_gamma,0.03,0.9771208646957501,0.10105246338018925,36.61971830985916,0.0,0.1468759130180725,"Cuba, Singapore",0.0,0.0,0,False,8.815300421603531,3.4034739454094174,325.49303779482807,335.0578179989944
sosac_gamma,0.035,0.9714823647586788,0.10340751044400087,36.61971830985916,0.0,0.17224308279666883,"Cuba, Singapore",0.0,0.0,0,False,8.863658960185651,3.9707196029776815,328.96987780619514,334.25590749120164
sosac_gamma,0.04,0.9714823647586788,0.10580482303619032,36.61971830985916,0.0,0.19787449392712547,"Cuba, Singapore",0.0,0.0,0,False,8.912017498767765,4.5379652605458825,332.44671781756165,333.4539969834087
sosac_gamma,0.045,0.9127525084429828,0.10848211242667505,33.80281690140845,0.0,0.2237742967971681,"Cuba, Singapore",0.0,0.0,0,False,8.960376037349883,5.105210918114126,335.92355782892867,332.65208647561593
sosac_gamma,0.05,0.9127525084429828,0.11142817954352169,67.6056338028169,0.0,0.24994672917110586,"Cuba, Singapore",0.0,0.0,0,False,9.008734575932001,5.672456575682369,339.40039784029557,331.850175967823
sosac_gamma,0.055,0.9127525084429828,0.11437424666036722,67.6056338028169,0.0,0.2763961185013817,"Cuba, Singapore",0.0,0.0,0,False,9.05709311451412,6.239702233250612,342.8772378516623,331.04826546003005
sosac_gamma,0.06,0.9127525084429828,0.11732031377721386,67.6056338028169,0.0,0.30312688431389434,"Cuba, Singapore",0.0,0.0,0,False,9.105451653096237,6.806947890818855,346.3540778630293,330.2463549522373
sosac_gamma,0.065,0.9127525084429828,0.1202663808940605,67.6056338028169,0.0,0.33014354066985646,"Cuba, Singapore",0.0,0.0,0,False,9.153810191678355,7.3741935483870975,349.8309178743962,329.4444444444444
sosac_gamma,0.07,0.9127525084429828,0.1232124480109058,67.6056338028169,0.0,0.3574506987070655,"Cuba, Singapore",0.0,0.0,0,False,9.202168730260473,7.941439205955342,353.30775788576284,328.64253393665166
sosac_gamma,0.075,0.8830419510822614,0.1262708291192498,67.6056338028169,0.0,0.3850530692635955,"Cuba, Singapore",0.0,0.0,0,False,9.250527268842593,8.508684863523605,356.7845978971299,327.84062342885875
sosac_gamma,0.08,0.8830419510822614,0.12940369213774372,67.6056338028169,0.0,0.4129554655870445,"Cuba, Singapore",0.0,0.0,0,False,9.298885807424707,9.075930521091808,360.2614379084969,327.0387129210658
sosac_gamma,0.085,0.8684848623024188,0.1325869301981475,66.19718309859155,0.0,0.44116280613260767,"Cuba, Singapore",0.0,0.0,0,False,9.347244346006825,9.643176178660049,363.7382779198635,326.236802413273
sosac_gamma,0.09,0.8684848623024188,0.1357905621149018,66.19718309859155,0.0,0.46968011745339683,"Cuba, Singapore",0.0,0.0,0,False,9.395602884588941,10.21042183622827,367.21511793123045,325.4348919054801
sosac_gamma,0.095,0.8684848623024188,0.13899419403165725,66.19718309859155,0.0,0.4985125371865704,"Cuba, Singapore",0.0,0.0,0,False,9.44396142317106,10.777667493796535,370.6919579425975,324.63298139768744
sosac_gamma,0.1,0.8684848623024188,0.1421978259484109,66.19718309859155,0.0,0.5276653171390012,"Cuba, Singapore",0.0,0.0,0,False,9.492319961753173,11.344913151364716,374.1687979539641,323.83107088989436
