party_name,un_share,iusaf_share
Vanuatu,0.001,2.3242909361490316
Micronesia (Federated States of),0.001,2.3242909361490316
Kiribati,0.001,2.3242909361490316
Samoa,0.001,2.3242909361490316
Tuvalu,0.001,2.3242909361490316
Tonga,0.001,2.3242909361490316
Eritrea,0.001,2.3242909361490316
Gambia,0.001,2.3242909361490316
Sao Tome and Principe,0.001,2.3242909361490316
Cabo Verde,0.001,2.3242909361490316
Nauru,0.001,2.3242909361490316
Saint Vincent and the Grenadines,0.001,2.3242909361490316
Lesotho,0.001,2.3242909361490316
Palau,0.001,2.3242909361490316
Solomon Islands,0.001,2.3242909361490316
Marshall Islands,0.001,2.3242909361490316
Grenada,0.001,2.3242909361490316
Guinea-Bissau,0.001,2.3242909361490316
Liberia,0.001,2.3242909361490316
Timor-Leste,0.001,2.3242909361490316
Central African Republic,0.001,2.3242909361490316
Sierra Leone,0.001,2.3242909361490316
Dominica,0.001,2.3242909361490316
Burundi,0.001,2.3242909361490316
Saint Kitts and Nevis,0.001,2.3242909361490316
Belize,0.001,2.3242909361490316
Comoros,0.001,2.3242909361490316
Bhutan,0.001,2.3242909361490316
Djibouti,0.002,1.1621454680745158
Suriname,0.002,1.1621454680745158
Seychelles,0.002,1.1621454680745158
Togo,0.002,1.1621454680745158
Antigua and Barbuda,0.002,1.1621454680745158
Eswatini,0.002,1.1621454680745158
Mozambique,0.002,1.1621454680745158
Saint Lucia,0.002,1.1621454680745158
Somalia,0.002,1.1621454680745158
Yemen,0.003,0.7747636453830107
Rwanda,0.003,0.7747636453830107
Tajikistan,0.003,0.7747636453830107
Kyrgyzstan,0.003,0.7747636453830107
Fiji,0.003,0.7747636453830107
Mauritania,0.003,0.7747636453830107
Malawi,0.003,0.7747636453830107
Niger,0.004,0.5810727340372579
Guinea,0.004,0.5810727340372579
Montenegro,0.004,0.5810727340372579
Maldives,0.004,0.5810727340372579
Nicaragua,0.004,0.5810727340372579
Madagascar,0.004,0.5810727340372579
Mongolia,0.004,0.5810727340372579
Mali,0.005,0.4648581872298063
Democratic People's Republic of Korea,0.005,0.4648581872298063
Congo,0.005,0.4648581872298063
Afghanistan,0.005,0.4648581872298063
Chad,0.005,0.4648581872298063
Benin,0.005,0.4648581872298063
Burkina Faso,0.005,0.4648581872298063
South Sudan,0.005,0.4648581872298063
Republic of Moldova,0.006,0.38738182269150534
Haiti,0.006,0.38738182269150534
Lao People's Democratic Republic,0.006,0.38738182269150534
Syrian Arab Republic,0.006,0.38738182269150534
Zambia,0.006,0.38738182269150534
Barbados,0.007,0.3320415623070045
Zimbabwe,0.007,0.3320415623070045
Armenia,0.007,0.3320415623070045
Jamaica,0.007,0.3320415623070045
Senegal,0.007,0.3320415623070045
Namibia,0.007,0.3320415623070045
Equatorial Guinea,0.008,0.29053636701862895
North Macedonia,0.008,0.29053636701862895
Sudan,0.008,0.29053636701862895
Cambodia,0.008,0.29053636701862895
Papua New Guinea,0.009,0.25825454846100354
Georgia,0.009,0.25825454846100354
Albania,0.01,0.23242909361490316
United Republic of Tanzania,0.01,0.23242909361490316
Angola,0.01,0.23242909361490316
Democratic Republic of the Congo,0.01,0.23242909361490316
Mauritius,0.01,0.23242909361490316
Bangladesh,0.01,0.23242909361490316
Myanmar,0.01,0.23242909361490316
Honduras,0.01,0.23242909361490316
Ethiopia,0.01,0.23242909361490316
Uganda,0.01,0.23242909361490316
Nepal,0.01,0.23242909361490316
Guyana,0.011,0.21129917601354833
Gabon,0.011,0.21129917601354833
Botswana,0.013,0.17879161047300246
El Salvador,0.013,0.17879161047300246
Bosnia and Herzegovina,0.014,0.16602078115350224
Cameroon,0.014,0.16602078115350224
Bahamas,0.015,0.15495272907660212
Tunisia,0.018,0.12912727423050177
Bolivia (Plurinational State of),0.018,0.12912727423050177
Jordan,0.021,0.1106805207690015
Lebanon,0.022,0.10564958800677417
Paraguay,0.023,0.10105612765865357
Côte d’Ivoire,0.024,0.09684545567287633
Uzbekistan,0.024,0.09684545567287633
Ghana,0.025,0.09297163744596126
Trinidad and Tobago,0.033,0.07043305867118278
Azerbaijan,0.034,0.06836149812203034
Turkmenistan,0.036,0.06456363711525089
Kenya,0.037,0.06281867394997383
Sri Lanka,0.038,0.06116555095129031
Serbia,0.04,0.05810727340372579
Libya,0.04,0.05810727340372579
Belarus,0.043,0.054053277584861205
Guatemala,0.046,0.050528063829326786
Morocco,0.059,0.039394761629644615
Ecuador,0.065,0.03575832209460049
Dominican Republic,0.069,0.03368537588621785
Venezuela (Bolivarian Republic of),0.069,0.03368537588621785
Ukraine,0.074,0.031409336974986914
Algeria,0.087,0.026715987771827956
Cuba,0.122,0.0190515650504019
Pakistan,0.123,0.018896674277634404
Iraq,0.131,0.017742678901901003
Kazakhstan,0.131,0.017742678901901003
Peru,0.145,0.016029592663096774
Nigeria,0.15,0.01549527290766021
Viet Nam,0.159,0.01461818198835869
Egypt,0.182,0.012770829319500175
Colombia,0.197,0.011798431147964628
Philippines,0.198,0.011738843111863798
South Africa,0.251,0.009260123251589768
Malaysia,0.326,0.007129726798003165
Thailand,0.341,0.006816102452049947
Iran (Islamic Republic of),0.386,0.006021479109194382
Singapore,0.479,0.004852381912628459
Argentina,0.49,0.0047434508901000655
Indonesia,0.579,0.004014319406129589
Türkiye,0.685,0.003393125454232163
India,1.106,0.0021015288753607883
Mexico,1.137,0.002044231254308735
Brazil,1.411,0.001647265014988683
China,20.004,0.00011619130854574242
State of Palestine,0.0,0.0
Cook Islands,0.0,0.0
Niue,0.0,0.0
